Commodity,x,Value_11_12
CASHEW,43904631030,696.8989052
CASTOR OIL,45716657257,725.6612263
COFFEE,45329160311,719.5104811
COTTON RAW INCLD. WASTE,2.17E+11,3436.595223
DYES/INTMDTES n COAR TAR CHEML,1.86E+11,2950.170425
FERRO ALLOYS,83955181394,1332.621927
GROUNDNUT,52464476566,832.7694693
GUERGAM MEAL,1.65E+11,2615.503059
INORGANIC/ORGANIC/AGRO CHEMLS,2.78E+11,4410.305543
IRON ORE,2.22E+11,3521.153936
IRONnSTL BAR/ROD ETCnFRRO ALOY,67632153285,1073.526243
MARINE PRODUCTS,1.66E+11,2632.417291
OIL MEALS,1.18E+11,1872.453536
OTHER CEREALS,54926562887,871.8502046
PETROLEUM: CRUDE & PRODUCTS,2.54E+12,40364.17112
PRMRY & SEMI-FNSHD IRON & STL,2.44E+11,3871.382185
RICE -BASMOTI,1.54E+11,2451.373203
RICE(OTHER THAN BASMOTI),86552845828,1373.854696
SPICES,1.32E+11,2097.905076
SUGAR,87657562697,1391.389884
